,country,number_of_matches,number_of_matches_won,number_of_WC_matches,number_of_WC_matches_won,number_of_goals
0,Afghanistan,102,28,0,0,108
1,Albania,312,77,0,0,284
2,Algeria,479,200,13,6,666
3,American Samoa,42,4,0,0,26
4,Andorra,145,4,0,0,39
5,Angola,327,112,3,0,375
6,Anguilla,50,3,0,0,32
7,Antigua and Barbuda,181,56,0,0,249
8,Argentina,944,509,77,53,1768
9,Armenia,190,45,0,0,183
10,Aruba,110,20,0,0,144
11,Australia,496,246,13,2,1002
12,Austria,757,310,29,20,1348
13,Azerbaijan,223,42,0,0,159
14,Bahamas,27,7,0,0,31
15,Bahrain,458,151,0,0,549
16,Bangladesh,194,44,0,0,167
17,Barbados,245,83,0,0,322
18,Belarus,230,69,0,0,276
19,Belgium,741,310,41,20,1275
20,Belize,64,11,0,0,64
21,Benin,241,53,0,0,248
22,Bermuda,128,43,0,0,204
23,Bhutan,72,7,0,0,46
24,Bolivia,432,98,6,0,449
25,Bonaire,13,4,0,0,21
26,Bosnia-Herzegovina,199,80,3,2,299
27,Botswana,257,66,0,0,203
28,Brazil,941,598,104,90,2059
29,British Virgin Islands,83,16,0,0,71
30,Brunei,69,8,0,0,51
31,Bulgaria,652,246,26,4,938
32,Burkina Faso,370,117,0,0,436
33,Burma,338,150,0,0,570
34,Burundi,169,55,0,0,187
35,Cambodia,207,44,0,0,236
36,Cameroon,508,222,23,6,713
37,Canada,365,122,3,0,390
38,Cantabria,1,1,0,0,3
39,Cape Verde,155,55,0,0,159
40,Cayman Islands,81,15,0,0,84
41,Central African Republic,84,16,0,0,89
42,Chad,107,24,0,0,99
43,Chile,731,280,33,11,1043
44,China,564,275,3,0,1034
45,China PR,3,0,0,0,4
46,Colombia,522,199,18,8,636
47,Comoros,40,5,0,0,24
48,Congo,357,124,0,0,456
49,Congo DR,444,178,3,0,678
50,Cook Islands,42,9,0,0,38
51,Costa Rica,575,249,15,7,955
52,Croatia,291,156,16,7,511
53,Cuba,314,109,3,1,412
54,Curaçao,318,116,0,0,498
55,Cyprus,344,65,0,0,300
