,date,home_team,away_team,home_score,away_score,tournament,city,country,wining_team,difference,home_continent,away_continent
0,30/11/1872,Scotland,England,0,0,Friendly,Glasgow,Scotland,Draw,0,Europe,Europe
1,08/03/1873,England,Scotland,4,2,Friendly,London,England,England,2,Europe,Europe
2,07/03/1874,Scotland,England,2,1,Friendly,Glasgow,Scotland,Scotland,1,Europe,Europe
3,06/03/1875,England,Scotland,2,2,Friendly,London,England,Draw,0,Europe,Europe
4,04/03/1876,Scotland,England,3,0,Friendly,Glasgow,Scotland,Scotland,3,Europe,Europe
5,25/03/1876,Scotland,Wales,4,0,Friendly,Glasgow,Scotland,Scotland,4,Europe,Europe
6,03/03/1877,England,Scotland,1,3,Friendly,London,England,Scotland,2,Europe,Europe
7,05/03/1877,Wales,Scotland,0,2,Friendly,Wrexham,Wales,Scotland,2,Europe,Europe
8,02/03/1878,Scotland,England,7,2,Friendly,Glasgow,Scotland,Scotland,5,Europe,Europe
9,23/03/1878,Scotland,Wales,9,0,Friendly,Glasgow,Scotland,Scotland,9,Europe,Europe
10,18/01/1879,England,Wales,2,1,Friendly,London,England,England,1,Europe,Europe
11,05/04/1879,England,Scotland,5,4,Friendly,London,England,England,1,Europe,Europe
12,07/04/1879,Wales,Scotland,0,3,Friendly,Wrexham,Wales,Scotland,3,Europe,Europe
13,13/03/1880,Scotland,England,5,4,Friendly,Glasgow,Scotland,Scotland,1,Europe,Europe
14,15/03/1880,Wales,England,2,3,Friendly,Wrexham,Wales,England,1,Europe,Europe
15,27/03/1880,Scotland,Wales,5,1,Friendly,Glasgow,Scotland,Scotland,4,Europe,Europe
16,26/02/1881,England,Wales,0,1,Friendly,Blackburn,England,Wales,1,Europe,Europe
17,12/03/1881,England,Scotland,1,6,Friendly,London,England,Scotland,5,Europe,Europe
18,14/03/1881,Wales,Scotland,1,5,Friendly,Wrexham,Wales,Scotland,4,Europe,Europe
19,18/02/1882,Northern Ireland,England,0,13,Friendly,Belfast,Ireland,England,13,Europe,Europe
20,25/02/1882,Wales,Northern Ireland,7,1,Friendly,Wrexham,Wales,Wales,6,Europe,Europe
21,11/03/1882,Scotland,England,5,1,Friendly,Glasgow,Scotland,Scotland,4,Europe,Europe
22,13/03/1882,Wales,England,5,3,Friendly,Wrexham,Wales,Wales,2,Europe,Europe
23,25/03/1882,Scotland,Wales,5,0,Friendly,Glasgow,Scotland,Scotland,5,Europe,Europe
24,03/02/1883,England,Wales,5,0,Friendly,London,England,England,5,Europe,Europe
25,24/02/1883,England,Northern Ireland,7,0,Friendly,Liverpool,England,England,7,Europe,Europe
26,10/03/1883,England,Scotland,2,3,Friendly,Sheffield,England,Scotland,1,Europe,Europe
27,12/03/1883,Wales,Scotland,0,3,Friendly,Wrexham,Wales,Scotland,3,Europe,Europe
28,17/03/1883,Northern Ireland,Wales,1,1,Friendly,Belfast,Ireland,Draw,0,Europe,Europe
29,26/01/1884,Northern Ireland,Scotland,0,5,British Championship,Belfast,Ireland,Scotland,5,Europe,Europe
30,09/02/1884,Wales,Northern Ireland,6,0,British Championship,Wrexham,Wales,Wales,6,Europe,Europe
31,23/02/1884,Northern Ireland,England,1,8,British Championship,Belfast,Ireland,England,7,Europe,Europe
32,15/03/1884,Scotland,England,1,0,British Championship,Glasgow,Scotland,Scotland,1,Europe,Europe
33,17/03/1884,Wales,England,0,4,British Championship,Wrexham,Wales,England,4,Europe,Europe
34,29/03/1884,Scotland,Wales,4,1,British Championship,Glasgow,Scotland,Scotland,3,Europe,Europe
35,28/02/1885,England,Northern Ireland,4,0,British Championship,Manchester,England,England,4,Europe,Europe
36,14/03/1885,England,Wales,1,1,British Championship,Blackburn,England,Draw,0,Europe,Europe
37,14/03/1885,Scotland,Northern Ireland,8,2,British Championship,Glasgow,Scotland,Scotland,6,Europe,Europe
38,21/03/1885,England,Scotland,1,1,British Championship,London,England,Draw,0,Europe,Europe
39,23/03/1885,Wales,Scotland,1,8,British Championship,Wrexham,Wales,Scotland,7,Europe,Europe
40,11/04/1885,Northern Ireland,Wales,2,8,British Championship,Belfast,Ireland,Wales,6,Europe,Europe
41,28/11/1885,USA,Canada,0,1,Friendly,Newark,USA,Canada,1,North America,North America
42,27/02/1886,Wales,Northern Ireland,5,0,British Championship,Wrexham,Wales,Wales,5,Europe,Europe
43,13/03/1886,Northern Ireland,England,1,6,British Championship,Belfast,Ireland,England,5,Europe,Europe
44,20/03/1886,Northern Ireland,Scotland,2,7,British Championship,Belfast,Ireland,Scotland,5,Europe,Europe
45,27/03/1886,Scotland,England,1,1,British Championship,Glasgow,Scotland,Draw,0,Europe,Europe
46,29/03/1886,Wales,England,1,3,British Championship,Wrexham,Wales,England,2,Europe,Europe
47,10/04/1886,Scotland,Wales,4,1,British Championship,Glasgow,Scotland,Scotland,3,Europe,Europe
48,25/11/1886,USA,Canada,3,2,Friendly,Newark,USA,USA,1,North America,North America
49,05/02/1887,England,Northern Ireland,7,0,British Championship,Sheffield,England,England,7,Europe,Europe
50,19/02/1887,Scotland,Northern Ireland,4,1,British Championship,Glasgow,Scotland,Scotland,3,Europe,Europe
51,26/02/1887,England,Wales,4,0,British Championship,London,England,England,4,Europe,Europe
52,12/03/1887,Northern Ireland,Wales,4,1,British Championship,Belfast,Ireland,Northern Ireland,3,Europe,Europe
53,19/03/1887,England,Scotland,2,3,British Championship,Blackburn,England,Scotland,1,Europe,Europe
54,21/03/1887,Wales,Scotland,0,2,British Championship,Wrexham,Wales,Scotland,2,Europe,Europe
55,04/02/1888,Wales,England,1,5,British Championship,Crewe,England,England,4,Europe,Europe
56,03/03/1888,Wales,Northern Ireland,11,0,British Championship,Wrexham,Wales,Wales,11,Europe,Europe
57,10/03/1888,Scotland,Wales,5,1,British Championship,Edinburgh,Scotland,Scotland,4,Europe,Europe
58,17/03/1888,Scotland,England,0,5,British Championship,Glasgow,Scotland,England,5,Europe,Europe
59,24/03/1888,Northern Ireland,Scotland,2,10,British Championship,Belfast,Ireland,Scotland,8,Europe,Europe
60,07/04/1888,Northern Ireland,England,1,5,British Championship,Belfast,Ireland,England,4,Europe,Europe
61,19/09/1888,Scotland,Canada,4,0,Friendly,Glasgow,Scotland,Scotland,4,Europe,North America
62,23/02/1889,England,Wales,4,1,British Championship,Stoke-on-Trent,England,England,3,Europe,Europe
63,02/03/1889,England,Northern Ireland,6,1,British Championship,Liverpool,England,England,5,Europe,Europe
64,09/03/1889,Scotland,Northern Ireland,7,0,British Championship,Glasgow,Scotland,Scotland,7,Europe,Europe
65,13/04/1889,England,Scotland,2,3,British Championship,London,England,Scotland,1,Europe,Europe
66,15/04/1889,Wales,Scotland,0,0,British Championship,Wrexham,Wales,Draw,0,Europe,Europe
67,27/04/1889,Northern Ireland,Wales,1,3,British Championship,Belfast,Ireland,Wales,2,Europe,Europe
68,08/02/1890,Wales,Northern Ireland,5,2,British Championship,Shrewsbury,England,Wales,3,Europe,Europe
69,15/03/1890,Northern Ireland,England,1,9,British Championship,Belfast,Ireland,England,8,Europe,Europe
70,15/03/1890,Wales,England,1,3,British Championship,Wrexham,Wales,England,2,Europe,Europe
71,22/03/1890,Scotland,Wales,5,0,British Championship,Paisley,Scotland,Scotland,5,Europe,Europe
72,29/03/1890,Northern Ireland,Scotland,1,4,British Championship,Belfast,Ireland,Scotland,3,Europe,Europe
73,05/04/1890,Scotland,England,1,1,British Championship,Glasgow,Scotland,Draw,0,Europe,Europe
74,07/02/1891,Northern Ireland,Wales,7,2,British Championship,Belfast,Ireland,Northern Ireland,5,Europe,Europe
75,07/03/1891,England,Wales,4,1,British Championship,Sunderland,England,England,3,Europe,Europe
76,07/03/1891,England,Northern Ireland,6,1,British Championship,Wolverhampton,England,England,5,Europe,Europe
77,21/03/1891,Wales,Scotland,3,4,British Championship,Wrexham,Wales,Scotland,1,Europe,Europe
78,28/03/1891,Scotland,Northern Ireland,2,1,British Championship,Glasgow,Scotland,Scotland,1,Europe,Europe
79,27/02/1892,Wales,Northern Ireland,1,1,British Championship,Bangor,Wales,Draw,0,Europe,Europe
80,05/03/1892,Northern Ireland,England,0,2,British Championship,Belfast,Ireland,England,2,Europe,Europe
81,05/03/1892,Wales,England,0,2,British Championship,Wrexham,Wales,England,2,Europe,Europe
82,19/03/1892,Northern Ireland,Scotland,2,3,British Championship,Belfast,Ireland,Scotland,1,Europe,Europe
83,26/03/1892,Scotland,Wales,6,1,British Championship,Edinburgh,Scotland,Scotland,5,Europe,Europe
84,02/04/1892,Scotland,England,1,4,British Championship,Glasgow,Scotland,England,3,Europe,Europe
85,25/02/1893,England,Northern Ireland,6,1,British Championship,Birmingham,England,England,5,Europe,Europe
